0x0637	0x47c8
0x0885	0x3fc4
0x795c	0xbdee
0x73cf	0xf252
0x57fd	0xb797
0x3b03	0xd132
0x5336	0x51a8
0x0682	0x533d
0x8b46	0xb39e
0x407c	0xc068
0xbf9b	0xd037
0xca06	0xb476
0x7cbd	0xf8dd
0xca32	0xffe4
0xac49	0xa1af
0x8122	0x0c2c
0x928b	0x0d9a
0xbddf	0x5b59
0x2583	0x1264
0xfaad	0xd5b6
0x652d	0x9916
0x0800	0xc3ef
0x2318	0xf59c
0x0732	0x69e8
0x5b4e	0x1385
0x36ad	0x6463
0x9744	0x42fb
0xd7f4	0x162e
0x0cd6	0x664a
0x39c4	0x94d1
0xf78c	0x1e92
0x97a6	0x7607
0x0966	0x6374
0x7cfc	0x9710
0xec37	0xfc5d
0x96d1	0x2d99
0x45a5	0x6a1c
0x289a	0x9616
0x247a	0xc71b
0x4a57	0xe49a
0x2a2e	0x5b70
0x2b85	0x0f89
0x778a	0xc018
0x452e	0xf8ae
0xd41c	0x72ce
0x4353	0x8d5e
0x740e	0xdc8c
0x1674	0xdb30
0xc16f	0x8816
0xdd28	0x5e01
0xf0b4	0xb784
0x5ed1	0xc49c
0x76ad	0xb08c
0x9ec2	0xeccb
0x265a	0x2448
0xc15a	0xdbea
0x1891	0x5341
0x388c	0x88ba
0xd45e	0xdda9
0xfa65	0xa5ba
0x1e4d	0x1e8b
0x312d	0x28b3
0x33d9	0x142e
0x2321	0x83ae
0x0a86	0x69f2
0xb244	0x4c09
0xf212	0x0a28
0xe877	0x27d4
0x6e01	0xa6c7
0xae6a	0xe23a
0x7b23	0x1812
0x69d7	0x4335
0x288a	0x4cb9
0xf745	0x7467
0x56f1	0x0763
0xf8da	0xaf8b
0x517c	0x4274
0x0dc6	0xb5ae
0xc756	0x2b1d
0xfd1a	0x9cd9
0x3cb7	0xb655
0x97c9	0x6ded
0xcfd5	0xcfd9
0x1ce2	0xecf8
0x448e	0x5961
0xd1bd	0xd89f
0x08fe	0xf0cb
0x6ea7	0x06a6
0x019a	0xaed0
0x9790	0xfa56
0x8e95	0xa551
0xddce	0x59f3
0x7536	0x22be
0xeaf6	0x6c49
0xbf31	0x7fbc
0x4cac	0xbc6c
0x399c	0x347b
0xbc88	0xcd7c
0x73c7	0x3ae3
0x152e	0xb7ed
0x4448	0x1668
0xb1b8	0xc97f
0x6201	0xe864
0xa000	0x51ed
0x302a	0x27d6
0xbad3	0xa125
0xdb5c	0xd6d7
0x4372	0x206b
0xebf8	0x2830
0x5c6a	0x13dd
0x3b26	0xd6f7
0xbc95	0xe067
0xf2ba	0x07f1
0x6471	0xa090
0xd518	0xd837
0xc2f1	0x3390
0xd6fb	0xa9cf
0x4d81	0xc586
0x5c8b	0x9f42
0xd791	0x586b
0xfa49	0x4761
0xfbbd	0x6c5a
0xcc61	0x51ea
0x508a	0x1f05
0x7c83	0xae3d
0xa878	0xc1f9
0xfe72	0x005d
0xb635	0x1d3d
0xedd2	0x4407
0xea59	0xf5fa
0xe877	0x00b7
0xd1f1	0xde64
0x0ab1	0x68a8
0xdb04	0x440b
0x0f82	0x6ad8
0x16e8	0x5001
0x1cd1	0x6c07
0x796f	0x00ed
0x91ff	0xaf6c
0x7434	0x4f0b
0x88d8	0x744f
0x3cb5	0x86e8
0x7a1b	0xb60b
0x8420	0x87e6
0x5012	0x4acf
0x3f8f	0x4ea8
0x5e90	0xb320
0xca08	0x6e8c
0xdf68	0x6382
0x61c1	0x946a
0x98e0	0x2c8d
0x7051	0x7322
0x5b0f	0x9590
0x13a2	0xc499
0xc78e	0x7d18
0x6d93	0x928f
0xc914	0xed93
0x0aef	0x7e3a
0x2390	0xcbc8
0xeda9	0x660b
0x0a87	0x1e4c
0x0812	0x9072
0xaa48	0xf261
0x2339	0xac04
0x221d	0x6891
0x1a39	0xaa21
0x07ce	0x19fe
0xda41	0xfdf1
0x39df	0xe65f
0x7827	0x6bc1
0x3ada	0x8f30
0x3fd7	0x74d9
0x6b00	0x1318
0xf055	0x8b2d
0x9b68	0x077b
0xa902	0xd752
0x9194	0x2246
0x5a88	0x4483
0xa31e	0xf094
0xda81	0x4c2a
0xa926	0x122d
0x1ea5	0x95f2
0x52d8	0x8726
0xaca5	0x8861
0x4cd0	0xdef8
0x7ec2	0x86a1
0x998a	0x43b8
0xcdfb	0x13a7
0x6667	0x18ca
0x71e5	0x20e4
0x0b01	0x4af2
0x5893	0xa1ee
0x4247	0x0a8b
0x02df	0xf932
0xce87	0xa4cc
0x54a6	0x77cb
0x8a94	0xaddc
0xbcc5	0x0e81
0x86d8	0xc6c3
0xe8a6	0x7061
0xe2f3	0x1fe2
0x9ca9	0xc8fb
0x9c46	0xefdc
0x64f2	0x9a6e
0x635d	0x59d4
0x61fe	0xf1ff
0xe7ab	0xd324
0x68e7	0xc2cc
0x620e	0xf956
0x689b	0x9dfd
0x2b5a	0x6944
0x06a9	0x0f54
0x9214	0x7efc
0x54de	0x6531
0x04d2	0x1f9a
0x7ab3	0xde45
0xef44	0xbc9c
0x1ecf	0x25dc
0xf38a	0x47e9
0x7ad4	0xed46
0x66cf	0xf2db
0x0664	0xc8e6
0x61b5	0x7197
0x1e12	0xa221
0x2266	0x84ea
0xa876	0x92cd
0xe8d7	0x1f70
0x4f57	0xba5f
0xc484	0xe286
0x6eb4	0xf974
0x481b	0x1d50
0x4a2a	0x54d4
0xc41e	0x62ab
0x884b	0xceb4
0x0b1a	0x3d6e
0x63ac	0x0cde
0xe661	0x7d84
0x9890	0x8f43
0x00d1	0xd8ea
0x0026	0x4ee1
0x6090	0x44e5
0x11b8	0x9d17
0xa34e	0x3a33
0x4d7f	0xfab9
0x690f	0x30e3
0xf700	0x84da
0x285c	0xb2d7
0x0d32	0x8971
0xa296	0x38f6
0x6d33	0x4c7f
0xb697	0xe9b4
0x22e4	0xf53c
0x9379	0xed62
0xeba4	0xb2b3
0x2517	0xd8f5
0xd697	0x34f9
0x0d61	0xf61a
0x9964	0x47c3
0x1c9e	0x9cae
0x3e78	0x6cf9
0xd8ea	0x8a93
0x6a5d	0x11cf
0x1014	0x33c1
0x635c	0x5d4a
0xd396	0xc6b2
0xeb21	0x3031
0x4e7f	0x190b
0x17ba	0x0e63
0x1dd3	0x8df6
0x8fb9	0xb45a
0xe18d	0xf54e
0x6df8	0x5093
0xecf5	0x0699
0x8ea7	0x2e4e
0x206b	0xeec2
0x549d	0xb3c6
0x4dea	0xd3a1
0x2f59	0xf8f2
0x1532	0x11be
0x1281	0x4f5c
0xe9ea	0x10ab
0x366a	0xfe10
0x132e	0xf89d
0x9eeb	0x971f
0xa556	0xf456
0x43cc	0x8164
0xee5e	0xf1aa
0x8b7f	0x5217
0x7ff6	0xf753
0xd117	0xef92
