0xe8d9	0x041d
0x9cb6	0x0ee7
0x0b3e	0x24cc
0x2866	0x606a
0x91b3	0xba3b
0x8ab9	0xcafd
0x9d55	0xe0e4
0x721e	0xd42e
0x5859	0xa6c1
0x0911	0x9c8f
0x2949	0x48b4
0xc5c6	0xc603
0x12b4	0x991e
0xe404	0x599e
0x10dc	0x45dd
0x2600	0xa63c
0xac2b	0x98ad
0x395f	0x8142
0x740f	0xaf28
0x82f6	0x4333
0x16a2	0x3701
0xf60b	0x7dd2
0x3efa	0x0993
0x1bba	0x85f2
0x2d8d	0x08d2
0xa2e5	0xcc64
0xb041	0xec8c
0x226d	0xdac6
0x8ec9	0x8cea
0x88a3	0x98f3
0x008e	0x9e66
0x0372	0x7d32
0x98f9	0xb2e4
0xc060	0x0be0
0x7fe1	0x096b
0x4e83	0x6213
0x7aaf	0xa155
0xc79e	0x5347
0xc19c	0x50c8
0x6715	0xbffc
0x1556	0x17c6
0x4870	0x4d42
0xb644	0x7931
0xc829	0x7d36
0xd826	0xcb63
0x172d	0x8621
0xa122	0x2849
0xc620	0xcec5
0xb451	0xf088
0x0a27	0x2316
0xb35e	0x0bbb
0x4065	0x19c3
0x7771	0x4148
0x5d0b	0xd797
0x68d6	0x5b50
0xc191	0xf1db
0xfcc7	0x17bf
0xdf6f	0xd564
0x85d0	0xc22a
0x4840	0x6bc2
0x1af5	0x2b95
0x6f57	0x4b5a
0x340b	0xc7a7
0x0f71	0xf194
0x7a54	0x3dcd
0x923b	0xe04f
0x0b42	0x756d
0x0885	0x115a
0x457c	0xd313
0xb56d	0x6149
0xd28b	0x9b14
0xcb4c	0xbf37
0xa97f	0x6aaf
0x1694	0xba72
0xa90b	0x72a8
0x0520	0x7299
0x84d8	0x159b
0x4028	0x14e2
0x5acf	0xa511
0x08be	0x5007
0xee17	0x2c68
0x2092	0x040d
0xc708	0x41d4
0x5984	0x0d35
0x354b	0x71d1
0x5cd0	0x36f9
0x10f9	0xc683
0xd58f	0xb260
0x52b7	0xc39e
0x4068	0x402e
0xe806	0x61b7
0x2b97	0xd1d1
0xfb02	0x2499
0xafe7	0x953a
0xad62	0xcc29
0xa8be	0x4eae
0x4d90	0x0c0d
0x9e0b	0x9401
0x5051	0x5b0c
0x6951	0xffc8
0xc214	0x7cec
0x4ff4	0xf4e4
0x0193	0x195e
0x93dc	0xd59f
0x6ab2	0x9a16
0xb6e2	0x0408
0x11c0	0x45ab
0x877a	0x2e71
0xeff8	0xeae7
0xe520	0x9045
0x06d2	0x2447
0xec9d	0xe4ea
0xaf98	0xff9c
0xebb5	0x0f01
0x08bb	0xbe43
0xcf49	0x24ce
0xa3ac	0xe42b
0x54bb	0xbf13
0x210e	0x38ec
0xfb1a	0x10e2
0x1c0a	0xbf09
0x5b4d	0x5ab0
0x3c0b	0x44ee
0x6315	0x7224
0x7120	0xf165
0x4313	0x11df
0x0a7a	0x17f0
0xb8ee	0xd806
0xb129	0x32e6
0x3d94	0xbac4
0xb721	0xd7be
0x433e	0x80e3
0x5b0c	0xb267
0xfd14	0x26dc
0xe53d	0xc787
0x196b	0x2f27
0x970c	0x1b6e
0x39eb	0x468f
0x7ccb	0xe417
0x5b09	0xa5b6
0x2017	0xb721
0x955c	0xfffa
0xd156	0xf30b
0xfb1c	0x5efd
0x560d	0x5549
0x68a0	0x301d
0xa1ac	0x215a
0x1038	0xd5e1
0x6048	0xfab3
0x075f	0x82c5
0x5267	0xd396
0xc1c2	0xfd9f
0xae29	0xaab2
0x00d8	0x208d
0x662f	0x5eb3
0xf174	0xa440
0x7acd	0x3055
0xcebc	0x70fe
0x78fa	0xeda0
0xa813	0x16b4
0xb328	0xc18d
0xdd1b	0x7c30
0xf863	0xd95f
0x7802	0xf17a
0x9098	0xc05f
0xe1fb	0x92f7
0x6a99	0x7496
0x0afa	0x2ec8
0xb83e	0x20c7
0xc619	0x099c
0x9924	0xbea1
0xbe3e	0x4339
0xe7fc	0xf345
0xe4fc	0xf6fa
0x9cb7	0xa800
0x6f3a	0xcd4d
0x8452	0x3807
0x7787	0xe8ed
0x0205	0x5678
0xd3fd	0xa5e3
0xb0e6	0x3f0a
0x1722	0x7b75
0x16fd	0x9cc3
0xe794	0x43ec
0xa131	0xb696
0x444b	0xca41
0x9631	0xd195
0x6c4e	0xe913
0xc8c2	0x85ce
0x440a	0x0231
0x1635	0x26f1
0x4c9d	0x12ab
0xb8cf	0xe5a2
0xfe3b	0xe285
0x1547	0x3ac9
0x0303	0x44df
0x32ad	0x1e38
0x92e5	0x797b
0x8e31	0xd48b
0xb5a0	0x4bfe
0xa7c3	0xfa6b
0x1280	0xc24c
0xc677	0x6f1d
0xea01	0x7eb3
0x5f9d	0x9d7a
0xfbc3	0xcbe3
0x715e	0x986a
0xe8d2	0xfc8b
0x7d01	0xe8e4
0xae30	0x0a5e
0xeb53	0x3a74
0x1445	0x2c6b
0xd256	0xcaf3
0x0cd3	0x15c3
0x34ef	0x2fde
0xa411	0x214c
0xc0bb	0x9495
0x1b1e	0x8815
0xd767	0xccb0
0xbce1	0x8437
0xa0a0	0x1d7b
0xb2a4	0x71bf
0x917d	0xcf11
0x4d41	0x8932
0x5c56	0x8688
0x75dc	0xb473
0xe3a8	0x6c56
0x1b76	0xc98d
0x56dc	0x8ae6
0x2ae7	0x508c
0xd949	0x1e6d
0xfb49	0x1113
0x1157	0x7d93
0xe630	0x56a2
0x1721	0x91b2
0x203f	0x7409
0xafcc	0xa999
0x4142	0x7369
0xbab3	0xcc0e
0xfe0a	0xc9a4
0xdd9c	0x4dd6
0xd8d0	0x6e22
0x36c1	0xa4ef
0x935d	0xbc80
0x2e6f	0x1c1a
0x9843	0x0079
0x850d	0xc107
0x9701	0x3694
0x5333	0x217e
0x4f66	0xa96f
0xe501	0x121a
0xf16d	0x3b0c
0x4010	0xfe5a
0x6743	0x9254
0xae02	0x4d1e
0xe338	0xed9e
0xfa4d	0x20aa
0x25af	0xacb0
0xf388	0x8265
0xaeb1	0x2e64
0xb377	0xc015
0xedff	0x46b1
0xae0d	0x3184
0xbc2e	0xfb85
0xe165	0xf2cd
0x67c1	0x9662
0x444b	0x84d5
0xe497	0xe90a
0x321f	0x2da7
0x9e9e	0x39f1
0x8d89	0xdf5b
0xdfc0	0xe84f
0x43d3	0xf227
0xb0cc	0x498e
0x464f	0x8c0a
0x6df4	0x570a
0xe314	0xf842
0x7037	0x3995
0x7a4b	0xa0a2
0x15b1	0xc2ce
0xa3a7	0xc9b6
0x1e77	0x5d28
0x8c50	0x0b8b
0x5495	0xb3d4
0xe034	0x0aed
0x9041	0xe8e9
0x09de	0x321a
0x38d7	0x9fd3
0x2d37	0xa718
0xbfe5	0x46c4
0xe5c6	0x6392
0xd2a7	0x5833
0x1aa6	0xc0b5
0x1d27	0x00ec
0x747f	0xad9e
0x540b	0xc1c0
0xc083	0x1ab4
0x6414	0xe858
0x53b3	0x25be
0xfaed	0xc076
0x5758	0x0fdb
0x6e5d	0xc268
0xbe0e	0xcfb3
0x2b1a	0xd59b
0x913c	0x09b6
0x9d58	0xb456
0xa76c	0xd3f8
0x4399	0x0f9d
0xa7dd	0xfe6f
0x78af	0xfebc
0x58cd	0x9433
0xb9dc	0xe3bf
0x9811	0xc0ec
0xf656	0xc37c
0x6b5f	0x4ee1
0xebc8	0xeb53
0xdc86	0x5e19
0xee0b	0xd9b0
0xcac5	0xf55e
0x574c	0x1811
0x9b80	0x1345
0x82f2	0xb24d
0x9299	0xae4c
0xfd17	0x6e23
0xaa69	0xa335
0xb09b	0xde0a
0xbeea	0x5042
0xaeaf	0xb90b
0xfa32	0xa5c5
0x2b05	0xf22c
0x4f00	0x04db
0x8beb	0x3c49
0xb318	0xc152
0xd898	0x148e
0x0d10	0x80aa
0xcbe4	0x77be
0xd6ac	0x6023
0x2d04	0x4713
0xd3f4	0x0bba
0x89f2	0x21f6
0x2f93	0x15c8
0xd942	0xfed4
0xb627	0xecff
0xb8e8	0x7802
0x9344	0x93b5
0x7ec9	0x57fb
0xbb52	0xf2cf
0xd507	0x02a3
0x8426	0xbf9f
0xa007	0xccd7
0xccf4	0x0597
0x143f	0xfd52
0x5c7b	0xb532
0xeca8	0xe5dd
0x442c	0x791b
0x7787	0xf42f
0x21cd	0x74b9
0x812e	0xd723
0x00e4	0xd335
0x5f24	0x987f
0x2ea3	0x46ef
0x60f6	0x01a4
0x843a	0x35cc
0xc603	0x3ba7
0x10cc	0xbd40
0xf38d	0x10d0
0x379b	0x04bd
0xf04c	0x86b8
0xef19	0x8024
0xbf2a	0xe3ee
0x610d	0x079c
0x22c8	0x3e9a
0x312d	0xdca8
0x0cb8	0xc481
0x1efc	0x21a8
0x776b	0xa800
0x3a93	0x6fd3
0xfa38	0xc5b8
0x9cf4	0xc674
0x1093	0xb6f9
0xfba1	0xdae6
0xbfdf	0xafec
0xc846	0x3a87
0x33be	0x7125
0xcccf	0xd82a
0x092c	0xd427
0xc47e	0xf020
0xba09	0x6aa0
0x196b	0x6199
0xf978	0xac61
0xf92c	0xdf78
0xaea7	0x2ecd
0x218b	0x87be
0xd853	0xc872
0x2c5b	0x1c38
0x668c	0x1963
0x0a12	0x56b3
0x4322	0x1494
0x2b27	0xf857
0x4d76	0x40a0
0x9d61	0x9833
0x1c19	0xea61
0xd8b4	0xfecf
0xa5d7	0xe10b
0x2b6b	0x5295
0x32ee	0x6893
0xc862	0xef7c
0x3a29	0xcedb
0xdce9	0x6621
0x7ff3	0x1004
0xa3ba	0x2bcf
0x40af	0xfc48
0xd753	0x5254
0x6033	0x213d
0xa9b2	0x0e61
0x97d4	0x33a8
0x8979	0x118c
0xd13d	0x1e93
0xeb42	0x9382
0x1b18	0xca68
0x3dfa	0x3eff
0x922d	0x784f
0x382e	0x8222
0x2ff6	0x660e
0x8d6d	0x4914
0x0d71	0x6150
0x536c	0x2f56
0x52c9	0xedc6
0x21b6	0x76fa
0x1131	0xb6bd
0x5e3a	0xb5ff
0x6099	0x0878
0x49bf	0x8eb7
0x7068	0x4b3c
0x0068	0xb2ef
0x57a8	0x700a
0x50df	0xd530
0x26eb	0x5eb8
0x0307	0x2637
0x3a0f	0xf9c8
0x18a5	0x911f
0xa483	0x5133
0xbbd5	0x8e68
0xa8d7	0x96ab
0x01ed	0x4464
0xd139	0x01e4
0x792f	0xa7a4
0x4b17	0x64f0
0x0447	0x7a5b
0x9edd	0x2b3a
0xb2fb	0xfbcc
0xe1b3	0xab21
0x7972	0x6be3
0x1fe5	0xf9bd
0xcfd7	0xebad
0xc3c5	0xfe51
0xcb38	0x088e
0x0a49	0x42bf
0xd82a	0x8776
0xdcfd	0xd2f2
0xd9f5	0x5283
0x00bc	0xd892
0xf542	0x106b
0x1e64	0x85f2
0x6374	0xd3cb
0xa553	0x5eba
0x6b7c	0x70c0
0x7e54	0x9c47
0x634a	0x5a4f
0x7163	0xfb1f
0x8afb	0x9e95
0x292b	0xeb9d
0x9c1d	0x2343
0xac61	0x0832
0x3a4f	0x71e7
0xf814	0xa8e6
0x938f	0x7cc8
0x9891	0x08d1
0xc5fc	0xdf1b
0xc128	0xfceb
0x2029	0x9ce3
0xf95f	0xb475
0xc85c	0xae9f
0x8a42	0x2712
0x5c27	0x01c6
0x927c	0x073b
0x3d83	0xc329
0xb6e1	0x0bec
0x4b44	0xbdd1
0x596b	0x2eab
0x8aca	0xb827
0xc470	0xd653
0xbe0f	0xf825
0x7c5e	0x4978
0x6bf3	0x9d76
0x4acd	0xdd6e
0xa31c	0xfea2
0x6b05	0x396a
0x0129	0xa890
0x8cc3	0xcc67
0x4f9a	0x9cc8
0x3ced	0x0b93
0x4f49	0xf700
0x1d74	0x9144
0xe89c	0xe297
0x1428	0xa912
0xb6a0	0xa38e
0x95e6	0x370c
0x3e30	0x2230
0x144b	0xe865
0x61d3	0x1f07
0x162d	0x1ded
0x659b	0x1d9f
0xe31b	0x9036
0x55d9	0x9d97
0x2335	0x59a1
0x4ead	0x0318
0xe940	0x0048
0x4fc9	0xacf6
0xddbb	0x435d
0x668a	0x628f
0xa525	0xafd3
0xd9e6	0x361c
0x0910	0xc9fe
0xda58	0x247b
0x2747	0xdfbf
0x63f1	0x9962
0x81bd	0xa3b1
0x1959	0xe847
0x05af	0x6b6d
0xd272	0xf8f8
0xdeb7	0xa199
0xba81	0x0c69
0x1ce2	0xd7e7
0x21cf	0x4584
0x6a33	0xddec
0xb459	0xbd6f
0xd172	0x80e3
0x58d7	0xe0f3
0x7db2	0xd1b2
0x7d65	0x52b8
0x62b0	0x2315
0xf467	0x7f27
0x30ef	0x4709
0xeff0	0xfa34
0xf1e1	0xe811
0x7ce4	0x22e3
0xa0e2	0xe729
0x4b33	0x11cd
0xcfa5	0x1a92
0x508d	0x1bd1
0x049b	0xb8d4
0x6513	0xf081
0xaffe	0xdfee
0x0054	0x9efc
0x3522	0xd1d7
0x1c35	0xc724
0x8d28	0x9c98
0x5a66	0xef54
0xed53	0x55e9
0x0817	0x93a0
0xc56d	0x9897
0x4fc5	0x50c0
0x3a64	0x1bc1
0x5bb2	0x81b4
0x0cb4	0x464d
0x6db4	0xdd76
0x0fda	0xf4d7
0x7c56	0xbb3e
0xc872	0x5eb2
0x0c8e	0xa52a
0x1a47	0x1c4e
0x6be2	0xb249
0xa52d	0x43af
0x4431	0x511e
0x233f	0x1608
0x2cab	0x3962
0xbad1	0x6694
0x1178	0xce45
0xe543	0x5c08
0xb84f	0x11b7
0x268a	0xe247
0x7e11	0x522b
0x25c7	0xdb12
0xfea7	0xfd91
0x4d4a	0x3d35
0x1ad5	0xb8ed
0x7c6e	0xcb23
0x078d	0x0262
0xec46	0xe8d2
0x60c6	0x9afe
0x25b9	0x2020
0x26f0	0xc21f
0xb294	0x07ef
0xff90	0x3197
0xbfb7	0xfcde
0xbcde	0xce28
0x5678	0xc1bf
0xdbe3	0xbf18
0x5ab2	0x8bf8
0xe816	0x6de1
0x922d	0x9987
0x0b6c	0x97b6
0x575b	0xa8b7
0x2d61	0xdba3
0x60a9	0xb765
0x565f	0xc1f8
0x1e5f	0xc41a
0x3d34	0x1423
0xcd25	0xb004
0xe6f5	0x9594
0x4bc5	0xe2a3
0x6b7d	0x96d4
0x0043	0xf338
0x0856	0xc09f
0x2a8a	0x5495
0x726e	0xbd51
0x20f1	0x899f
0xb90b	0xa222
0xc91a	0x1162
0x7632	0x0a5a
0x5227	0x9a4f
0xe2a5	0x4f4a
0x40dc	0xa4e9
0xebbc	0xc336
0xfb8f	0xadec
0x41bc	0x7ea2
0xb69c	0x5d69
0xffb7	0xbdca
0xa60a	0xa10e
0xe93b	0x4e76
0x7f0a	0x8913
0xc162	0xb2e2
0x4c1f	0xa08d
0x227b	0xc9bd
0xfcca	0x64a6
0x0ce5	0x3d55
0x4d86	0x835b
0x3b62	0x497f
0xb26f	0x5cc8
0x3cdb	0xbd27
0xb2d5	0x1f7e
0xbead	0xa8f3
0x6d78	0x02d3
0x63cc	0x9883
0x6447	0xcd99
0x7954	0xb1f4
0x4f4a	0x9d9d
0x9615	0xe6d1
0x334a	0x89a1
0x2779	0xb8fe
0x06f8	0x1af9
0x92ef	0x3498
0xa4ee	0xe6a6
0xb605	0x9b1f
0xf8cb	0x9e12
0x982c	0x0e68
0xc843	0xe6d0
0xda66	0x913d
0x1010	0xe7d5
0x1c3a	0x0ef5
0x11c9	0x1a12
0xa1bf	0x17d0
0x29c0	0x8f88
0x0a54	0x506f
0xa4f7	0x3e7a
0x07f0	0x8bfd
0x5717	0xe1d4
0x7fd8	0xa7bf
0x00b3	0x3cdd
0x9e74	0xbadc
0x06de	0x70d6
0x061d	0x3b27
0x27ad	0x01c3
0x1d3f	0xab0f
0x269a	0x42a9
0x1748	0x500c
0x4af7	0xa77c
0x0c63	0x46e4
0x8477	0x145e
0xf69e	0x51c1
0x4a77	0x1fc1
0x6784	0x1691
0xc320	0xd6ee
0xab74	0x986a
0xebb4	0x6a4a
0xb6c8	0xfe18
0x7215	0xdb04
0x50d9	0x8457
0x4cf5	0x905a
0xbd88	0x82f9
0x25b0	0x0eba
0x795a	0xd6b0
0x3608	0xa870
0xa144	0x34e6
0xc313	0xc26e
0x3cd5	0x677e
0x0292	0x37f2
0x7be2	0xa9ca
0x3bd2	0x19d8
0x3a8a	0x2dbb
0x34b4	0x651e
0xf042	0xc8ec
0x2593	0xe080
0x4f66	0xdb3b
0x4864	0x2cba
0xa2af	0x843e
0x1a89	0xa0c5
0x5ddf	0xbfdb
0xe9fa	0x5385
0x9394	0x566f
0x7595	0x0af8
0xa675	0x009b
0x82a1	0xa8eb
0xc6bd	0x3f6d
0x92eb	0x239a
0x6c3f	0x1311
0x98fa	0x53fc
0x2720	0x6926
0x6cec	0x3b62
0xb449	0x8e33
0x2026	0x39b8
0x1855	0x585a
0x6d4f	0xe9d7
0xa0b1	0xab97
0x4e1f	0x9321
0xb697	0x7d0a
0x1a8e	0xbc4b
0x1460	0xb604
0x4e66	0x764d
0x9527	0x97d3
0xc967	0x7e92
0x36fd	0xedbe
0xc58c	0x3c68
0x6a28	0x1989
0x0aad	0x1363
0xa69d	0x1c23
0x143b	0xccbb
0xa0ea	0x2816
0xe223	0xf0f3
0x1539	0x41ef
0x3c7b	0x4a6b
0xb7c2	0x1be6
0x1f62	0x9788
0x2654	0x0eb2
0x48ff	0x7d3a
0x8c04	0x6688
0x849b	0x7ca2
0x8403	0x5605
